date_time,Close,high,Low,close_L_bool,high_L_bool,low_L_bool,close_macd,close_rsi,close_dpo,close_cp,close_pi,parabolic_sar,close_bool,high_bool,low_bool,close_macd_bool,close_rsi_bool,close_dpo_bool,close_cp_bool,close_pi_bool,parabolic_sar_bool,close_bool__high_bool__low_bool,high_bool__low_bool,Date,Time,y_prove,y,pred,pred_percent,money_return,right
2021-06-10 11:00,1.21764,1.21878,1.21662,1,1,1,0.0001103271076007,0.1407493440132804,-7.749999999995261e-05,6.585406402229407e-05,1.0006386733389874,1.21533,1,1,1,1,1,0,1,1,0,1,1,3,11,0,0,0,0.4830627143383026,0.0,True
2021-06-10 12:00,1.21859,1.21945,1.21512,1,1,1,0.0001676427900639,0.1156842474650754,0.0002275,0.0671690716017562,1.0009587199872425,1.21945,1,1,0,1,0,1,1,1,1,0,0,3,12,-1,-1,0,0.4983159005641937,0.0,False
2021-06-10 13:00,1.2182,1.21932,1.21433,1,1,1,0.0001221523239533,0.0653644259734602,0.0007699999999999,0.1216801860327706,1.0006249992188845,1.21945,0,0,0,0,0,1,1,0,1,-1,-1,3,13,0,0,0,0.5075485706329346,0.0,True
2021-06-10 14:00,1.21714,1.219,1.21708,1,1,1,8.731479694564068e-06,-0.0243375985734829,0.0003074999999999,0.1142661462307927,0.9997504158977704,1.21932,0,0,1,0,0,0,0,0,0,0,0,3,14,0,0,0,0.5040510296821594,0.0,True
2021-06-10 15:00,1.21727,1.21778,1.21618,1,1,1,-2.2020479655401128e-05,-0.041842568843302,-0.0006599999999998,0.094834698689609,0.9993253418752038,1.2191204,1,0,0,0,0,0,0,0,0,0,-1,3,15,0,0,0,0.4821110665798187,0.0,True
2021-06-10 16:00,1.21767,1.21775,1.21645,1,0,1,-2.745246902978072e-06,0.0079343326570138,-0.0002999999999999,0.0878711907343208,0.999351763016759,1.218928784,1,0,1,1,1,1,0,1,0,0,0,3,16,0,0,0,0.4705874323844909,0.0,True
2021-06-10 17:00,1.2174,1.21785,1.2172,0,0,1,-1.670371061693787e-05,0.0236549216712014,0.0002999999999999,0.0753264800581833,0.9993392840020636,1.21874483264,0,1,1,0,1,1,0,0,0,0,1,3,17,-1,-1,0,0.5272669792175293,0.0,False
2021-06-10 18:00,1.21716,1.21759,1.21713,0,0,1,-3.529239364187764e-05,0.0194469920973592,2.499999999994173e-05,0.0371413488583376,0.99938300516606,1.2185682393344002,0,0,0,0,0,0,0,1,0,-1,-1,3,18,0,0,0,0.4908203184604645,0.0,True
2021-06-10 19:00,1.21703,1.21765,1.21698,0,0,1,-4.3166489669907215e-05,-0.018647268382515,-0.0001550000000001,-0.002680774228532,0.9994765734050438,1.2183987097610245,0,1,0,0,0,0,0,1,0,0,0,3,19,1,1,0,0.4903103411197662,0.0,False
2021-06-10 20:00,1.21751,1.21775,1.21698,0,0,1,-4.903596221882023e-06,0.000977418888854,-0.000245,-0.0064192234999521,0.9999015458337216,1.218235961370583,1,1,1,1,1,0,0,1,0,1,1,3,20,-1,-1,0,0.4704849421977997,0.0,False
2021-06-10 21:00,1.21738,1.21762,1.21677,0,0,1,-1.219641959720269e-06,0.0168223725767816,0.00024,-0.0110370375934638,1.0001652174941271,1.21807972291576,0,0,0,1,1,1,0,1,0,-1,-1,3,21,0,0,0,0.4942561388015747,0.0,True
