date_time,Close,high,Low,close_bool,high_bool,low_bool,close_label_bool,high_label_bool,low_label_bool,close_macd,close_macd_bool,high_macd,high_macd_bool,low_macd,low_macd_bool,close_rsi,close_rsi_bool,high_rsi,high_rsi_bool,low_rsi,low_rsi_bool,close_dpo,close_dpo_bool,high_dpo,high_dpo_bool,low_dpo,low_dpo_bool,close_coppock,close_coppock_bool,high_coppock,high_coppock_bool,low_coppock,low_coppock_bool,close_poly_interpolation,close_poly_interpolation_bool,high_poly_interpolation,high_poly_interpolation_bool,low_poly_interpolation,low_poly_interpolation_bool,parabolic_sar,parabolic_sar_bool,parabolic_sar_2,parabolic_sar_2_bool,parabolic_sar_3,parabolic_sar_3_bool,parabolic_sar_4,parabolic_sar_4_bool,high_bool__low_bool,close_bool__high_bool__low_bool,high_label_bool__low_label_bool,close_label_bool__high_label_bool__low_label_bool,weekday,hour,y_prove,y,pred,pred_percent,money_return,right
2021-06-10 12:00,1.21859,1.21945,1.21512,1,1,0,1,1,1,0.0001481070177842,1,0.0001956523256976,1,-0.000100079448998,0,0.1156842474650754,0,0.1405181235093708,1,0.0486791428893721,0,0.0002275,1,0.0006099999999999,1,0.0006099999999999,1,0.0671690716017562,1,0.1037151866665354,1,-0.0710574496922323,0,1.0009587199872425,1,1.0010191450090615,1,0.9999006085271755,0,1.21945,1,1.21945,1,1.21945,1,1.2201986106578302,0,0,0,1,1,3,12,-1,-1,1,0.6902294158935547,-0.0028556850352228214,False
2021-06-10 13:00,1.2182,1.21932,1.21433,0,0,0,1,1,1,0.0001920035867238,1,0.0002542007760189,1,-0.0001714827302914,0,0.0653644259734602,0,0.1011076201632928,0,-0.01735093057363,0,0.0007699999999999,1,0.000755,1,-0.0003925,0,0.1216801860327706,1,0.1636845797945188,1,-0.0934950783575691,0,1.0006249992188845,0,1.0007919322699783,0,0.9992613770150136,0,1.21945,1,1.21945,1,1.21945,1,1.219995466231517,0,-1,-1,1,1,3,13,0,0,1,0.830198347568512,0.0,False
2021-06-10 14:00,1.21714,1.219,1.21708,0,0,1,1,1,1,0.0001445101882274,0,0.0002592889692748,1,-2.754849169297926e-05,1,-0.0243375985734829,0,0.0035657540580459,0,0.04459372401944,1,0.0003074999999999,0,0.0001824999999999,0,-0.0014575000000001,0,0.1142661462307927,0,0.1809605156254726,1,-0.0496088592316422,1,0.9997504158977704,0,1.0001930195695925,0,1.0001705804812302,1,1.21932,0,1.21932,0,1.2193476,0,1.2197405202510987,0,0,0,1,1,3,14,-1,-1,-1,0.4610924124717712,4.929832057065653e-05,True
2021-06-10 15:00,1.21727,1.21778,1.21618,1,0,0,1,1,1,0.000117838663081,0,0.000172575708155,0,1.0938177615727731e-05,1,-0.041842568843302,0,-0.0704928510503695,0,0.1209620031940578,1,-0.0006599999999998,0,0.0001124999999999,0,0.0014024999999999,1,0.094834698689609,0,0.1446605869756978,0,-0.0226015475458032,1,0.9993253418752038,0,0.9992072970953916,0,1.0001884262018428,1,1.2191204,0,1.219,0,1.2192472479999998,0,1.2194970468397992,0,-1,0,1,1,3,15,0,0,1,0.8627367615699768,0.0004187948562137,False
2021-06-10 16:00,1.21767,1.21775,1.21645,1,0,1,1,0,1,0.0001225782412656,1,0.000108418411353,0,5.595655489850482e-05,1,0.0079343326570138,1,-0.0569446261870496,1,0.1853068081734183,1,-0.0002999999999999,1,-0.0006825000000001,0,0.0001700000000002,0,0.0878711907343208,0,0.1088298170399929,0,0.025521788450059,1,0.999351763016759,1,0.9987851231900426,0,1.0002660140232478,1,1.218928784,0,1.2186264,0,1.2191489030399998,0,1.2192645297320082,0,0,0,0,0,3,16,1,1,1,0.7444649934768677,6.569492917274378e-05,True
2021-06-10 17:00,1.2174,1.21785,1.2172,0,1,1,0,0,1,0.0001037200185993,0,6.981117632346844e-05,0,0.0001332138847976,1,0.0236549216712014,1,-0.0193250309585538,1,0.0685487380358716,0,0.0002999999999999,1,-0.000345,1,-0.0002774999999999,0,0.0753264800581833,0,0.0588080398170563,0,0.039202977891138,1,0.9993392840020636,0,0.9988177934271528,1,1.0005295860794483,1,1.21874483264,0,1.218282688,0,1.2190525249791997,0,1.219042475894068,0,1,0,0,0,3,17,-1,-1,0,0.3865804970264435,0.0,False
2021-06-10 18:00,1.21716,1.21759,1.21713,0,0,0,0,0,1,7.273786173041773e-05,0,2.6108607314453367e-05,0,0.0001739939030091,1,0.0194469920973592,0,0.0065240160613211,1,0.0220416463301432,0,2.499999999994173e-05,0,0.0001075000000001,1,0.0004599999999999,1,0.0371413488583376,0,0.011823716634405,0,0.0818898103245567,1,0.99938300516606,1,0.9990196182718885,1,1.0004769340426023,0,1.2185682393344002,0,1.21796647296,0,1.2189580744796158,0,1.218830414478835,0,-1,-1,0,0,3,18,0,0,-1,0.4750815331935882,,False
2021-06-10 19:00,1.21703,1.21765,1.21698,0,1,0,0,0,1,4.2634952361424205e-05,0,1.8654881871311385e-06,0,0.0001842709125916,1,-0.018647268382515,0,-0.0083419284096418,0,0.0070866863535244,0,-0.0001550000000001,0,-0.0001199999999998,0,0.0001899999999999,0,-0.002680774228532,0,-0.0273321228698235,0,0.1216318801140302,1,0.9994765734050438,1,0.9994505592339668,1,1.0001874451497328,0,1.2183987097610245,0,1.2176755551232,0,1.2188655129900234,0,1.2186278958272874,0,0,0,0,0,3,19,1,1,-1,0.5456352829933167,-0.0005091775140638,False
2021-06-10 20:00,1.21751,1.21775,1.21698,1,1,1,0,0,1,5.349278379129688e-05,1,-6.361505654263783e-06,0,0.0001840431483714,0,0.000977418888854,1,-0.0491773866880727,0,-0.0033364035295988,0,-0.000245,0,-5.999999999994898e-05,1,-9.250000000005087e-05,0,-0.0064192234999521,0,-0.0575156197703535,0,0.104010409355515,0,0.9999015458337216,1,0.9999017537919564,1,0.9999248137536269,0,1.218235961370583,0,1.21433,0,1.218774802730223,0,1.2184344905150597,0,1,1,0,0,3,20,-1,-1,0,0.5234043598175049,0.0,False
2021-06-10 21:00,1.21738,1.21762,1.21677,0,0,0,0,0,1,5.040413274377456e-05,0,-1.8782193358478897e-05,0,0.0001634219542546,0,0.0168223725767816,1,-0.0360989945630116,1,-0.0006846675619125,1,0.00024,1,9.750000000008364e-05,1,1.4999999999876223e-05,1,-0.0110370375934638,0,-0.0668766011750925,0,0.0956436116638397,0,1.0001652174941271,1,1.0002095677227798,1,0.9996432320616444,0,1.21807972291576,0,1.21433,1,1.2186859066756186,0,1.2182497884418817,0,-1,-1,0,0,3,21,0,0,1,0.4312171638011932,0.0,False
